"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-05-01",,,"0.00","0.0","0.0","66","35","62"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-05-02",,,"0.00","0.0","0.0","74","30","70"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-05-03",,,"0.00","0.0","0.0","70","37","58"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-05-04",,,"0.00","0.0","0.0","64","38","61"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-05-05",,,"0.00","0.0","0.0","65","38","62"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-05-06",,,"0.14","0.0","0.0","63","37","46"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-05-07",,,"0.08","0.0","0.0","55","35","55"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-05-08",,,"0.30","0.0","0.0","55","32","55"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-05-09",,,"0.00","0.0","0.0","63","30","62"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-05-10",,,"0.00","0.0","0.0","68","33","65"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-05-11",,,"0.00","0.0","0.0","73","32","70"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-05-12",,,"0.00","0.0","0.0","73","39","71"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-05-13",,,"0.00","0.0","0.0","74","29","73"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-05-14",,,"0.00","0.0","0.0","82","35","80"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-05-15",,,"0.00","0.0","0.0","81","39","79"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-05-16",,,"0.00","0.0","0.0","80","39","76"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-05-17",,,"0.00","0.0","0.0","78","38","77"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-05-18",,,"0.00","0.0","0.0","77","38","62"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-05-19",,,"0.02","0.0","0.0","68","42","53"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-05-20",,,"0.02","0.0","0.0","57","39",
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-05-21",,,"0.51","0.0","0.0","64","34","56"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-05-22",,,"0.00","0.0","0.0","70","29","69"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-05-23",,,"0.00","0.0","0.0","72","30","71"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-05-24",,,"0.00","0.0","0.0","71","29","64"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-05-25",,,"0.00","0.0","0.0","70","32","69"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-05-26",,,"0.00","0.0","0.0","75","34","73"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-05-27",,,"0.00","0.0","0.0","73","35","68"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-05-28",,,"0.00","0.0","0.0","76","39","74"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-05-29",,,"0.00","0.0","0.0","77","37","68"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-05-30",,,"0.00","0.0","0.0","69","33","67"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-05-31",,,"0.00","0.0","0.0","75","34","74"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-06-01",,,"0.00","0.0","0.0","79","35","77"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-06-02",,,"0.00","0.0","0.0","79","35","78"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-06-03",,,"0.00","0.0","0.0","78","35","75"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-06-04",,,"0.00","0.0","0.0","77","36","76"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-06-05",,,"0.00","0.0","0.0","79","34","76"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-06-06",,,"0.00","0.0","0.0","80","37","80"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-06-07",,,"0.00","0.0","0.0","81","42","78"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-06-08",,,"0.00","0.0","0.0","80","42","77"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-06-09",,,"0.00","0.0","0.0","79","37","77"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-06-10",,,"0.00","0.0","0.0","78","41","64"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-06-11",,,"0.00","0.0","0.0","65","25","64"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-06-12",,,"0.00","0.0","0.0","73","30","73"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-06-13",,,"0.00","0.0","0.0","75","34","75"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-06-14",,,"0.00","0.0","0.0","76","37","68"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-06-15",,,"0.00","0.0","0.0","72","37","71"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-06-16",,,"0.00","0.0","0.0","81","38","79"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-06-17",,,"0.00","0.0","0.0","81","41","80"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-06-18",,,"0.00","0.0","0.0","83","41","82"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-06-19",,,"0.00","0.0","0.0","88","44","88"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-06-20",,,"0.00","0.0","0.0","88","43","83"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-06-21",,,"0.03","0.0","0.0","83","46","66"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-06-22",,,"0.00","0.0","0.0","75","47","77"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-06-23",,,"0.00","0.0","0.0","75","40","73"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-06-24",,,"0.00","0.0","0.0","77","39","74"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-06-25",,,"0.00","0.0","0.0","83","37","83"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-06-26",,,"0.00","0.0","0.0","87","42","85"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-06-27",,,"0.00","0.0","0.0","90","42","89"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-06-28",,,"0.00","0.0","0.0","93","48","89"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-06-29",,,"0.00","0.0","0.0","91","56","81"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-06-30",,,"0.21","0.0","0.0","81","58","80"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-07-01",,,"0.01","0.0","0.0","84","47","83"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-07-02",,,"0.00","0.0","0.0","85","47","83"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-07-03",,,"0.00","0.0","0.0","85","42","85"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-07-04",,,"0.00","0.0","0.0","88","44","86"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-07-05",,,"0.00","0.0","0.0","87","50","76"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-07-06",,,"0.00","0.0","0.0","90","48","80"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-07-07",,,"0.00","0.0","0.0","88","50","80"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-07-08",,,"0.00","0.0","0.0","89","50","78"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-07-09",,,"0.00","0.0","0.0","91","54","89"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-07-10",,,"0.00","0.0","0.0","90","52","84"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-07-11",,,"0.00","0.0","0.0","89","58","73"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-07-12",,,"0.00","0.0","0.0","77","57","65"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-07-13",,,"0.03","0.0","0.0","81","48","70"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-07-14",,,"0.34","0.0","0.0","83","48","80"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-07-15",,,"0.00","0.0","0.0","86","49","81"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-07-16",,,"0.11","0.0","0.0","87","51","70"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-07-17",,,"0.35","0.0","0.0","77","54","58"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-07-18",,,"0.05","0.0","0.0","70","54","62"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-07-19",,,"0.00","0.0","0.0","75","48","72"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-07-20",,,"0.00","0.0","0.0","81","47","79"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-07-21",,,"0.00","0.0","0.0","84","47","51"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-07-22",,,"0.00","0.0","0.0","86","47","85"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-07-23",,,"0.01","0.0","0.0","87","52","78"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-07-24",,,"0.00","0.0","0.0","81","50","77"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-07-25",,,"0.09","0.0","0.0","80","49","73"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-07-26",,,"0.11","0.0","0.0","77","50","59"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-07-27",,,"0.83","0.0","0.0","77","48","72"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-07-28",,,"0.00","0.0","0.0","82","52","81"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-07-29",,,"0.00","0.0","0.0","80","50","72"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-07-30",,,"0.07","0.0","0.0","79","52","67"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-07-31",,,"0.00","0.0","0.0","76","51","76"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-08-01",,,"0.00","0.0","0.0","80","44","75"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-08-02",,,"0.00","0.0","0.0","80","51","75"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-08-03",,,"0.00","0.0","0.0","80","58","78"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-08-04",,,"0.00","0.0","0.0","79","46","72"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-08-05",,,"0.00","0.0","0.0","81","37","79"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-08-06",,,"0.00","0.0","0.0","85","50","83"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-08-07",,,"0.00","0.0","0.0","84","45","78"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-08-08",,,"0.00","0.0","0.0","83","54","80"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-08-09",,,"0.00","0.0","0.0","82","45","78"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-08-10",,,"0.09","0.0","0.0","80","48","68"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-08-11",,,"0.00","0.0","0.0","83","46","81"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-08-12",,,"0.00","0.0","0.0","85","42","82"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-08-13",,,"0.00","0.0","0.0","84","44","81"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-08-14",,,"0.00","0.0","0.0","82","41","76"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-08-15",,,"0.00","0.0","0.0","80","48","74"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-08-16",,,"0.00","0.0","0.0","78","41","77"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-08-17",,,"0.00","0.0","0.0","78","48","69"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-08-18",,,"0.00","0.0","0.0","78","51","71"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-08-19",,,"0.00","0.0","0.0","84","44","77"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-08-20",,,"0.00","0.0","0.0","84","51","78"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-08-21",,,"0.07","0.0","0.0","83","47","64"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-08-22",,,"0.03","0.0","0.0","82","48","80"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-08-23",,,"0.03","0.0","0.0","82","50","76"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-08-24",,,"0.00","0.0","0.0","83","47","82"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-08-25",,,"0.00","0.0","0.0","88","49","85"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-08-26",,,"0.00","0.0","0.0","88","48","80"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-08-27",,,"0.00","0.0","0.0","84","48","84"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-08-28",,,"0.00","0.0","0.0","86","48","82"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-08-29",,,"0.00","0.0","0.0","82","47","76"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-08-30",,,"0.00","0.0","0.0","83","47","79"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-08-31",,,"0.01","0.0","0.0","85","46","84"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-09-01",,,"0.00","0.0","0.0","84","51","78"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-09-02",,,"0.00","0.0","0.0","81","51","80"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-09-03",,,"0.00","0.0","0.0","83","42","82"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-09-04",,,"0.00","0.0","0.0","82","50","74"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-09-05",,,"0.04","0.0","0.0","76","50","65"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-09-06",,,"0.02","0.0","0.0","68","47","67"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-09-07",,,"0.00","0.0","0.0","75","41","67"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-09-08",,,"0.01","0.0","0.0","78","41","76"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-09-09",,,"0.05","0.0","0.0","76","53","60"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-09-10",,,"0.01","0.0","0.0","67","54","64"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-09-11",,,"0.00","0.0","0.0","69","50","65"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-09-12",,,"0.00","0.0","0.0","73","43","73"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-09-13",,,"0.00","0.0","0.0","75","42","72"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-09-14",,,"0.00","0.0","0.0","78","41","72"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-09-15",,,"0.00","0.0","0.0","77","42","73"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-09-16",,,"0.00","0.0","0.0","77","41","75"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-09-17",,,"0.00","0.0","0.0","76","38","73"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-09-18",,,"0.00","0.0","0.0","74","35","72"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-09-19",,,"0.00","0.0","0.0","75","37","74"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-09-20",,,"0.00","0.0","0.0","76","45","74"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-09-21",,,"0.33","0.0","0.0","78","45","60"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-09-22",,,"0.00","0.0","0.0","71","41","61"
"USC00023596","GRAND CANYON NATIONAL PARK 2, AZ US","1976-09-23",,,"0.45","0.0","0.0","63","42","49"
